original_name,pinyin_name,new_filename,mass_kg
cangti\Robot - 舱体-1 填料函大-1 填料函大零件1-1.STL,robot____cang_ti__1__tian_liao_han_da__1__tian_liao_han_da_ling_jian_1_1,robot____cang_ti__1__tian_liao_han_da__1__tian_liao_han_da_ling_jian_1_1.stl,0.0001
cangti\Robot - 舱体-1 填料函大-1 填料函大零件2-1.STL,robot____cang_ti__1__tian_liao_han_da__1__tian_liao_han_da_ling_jian_2_1,robot____cang_ti__1__tian_liao_han_da__1__tian_liao_han_da_ling_jian_2_1.stl,0.0001
cangti\Robot - 舱体-1 填料函大-1 填料函大零件3-1.STL,robot____cang_ti__1__tian_liao_han_da__1__tian_liao_han_da_ling_jian_3_1,robot____cang_ti__1__tian_liao_han_da__1__tian_liao_han_da_ling_jian_3_1.stl,0.0001
cangti\Robot - 舱体-1 填料函大-1 填料函大零件4-1.STL,robot____cang_ti__1__tian_liao_han_da__1__tian_liao_han_da_ling_jian_4_1,robot____cang_ti__1__tian_liao_han_da__1__tian_liao_han_da_ling_jian_4_1.stl,0.0001
cangti\Robot - 舱体-1 填料函大-1 填料函大零件5-1.STL,robot____cang_ti__1__tian_liao_han_da__1__tian_liao_han_da_ling_jian_5_1,robot____cang_ti__1__tian_liao_han_da__1__tian_liao_han_da_ling_jian_5_1.stl,0.0001
cangti\Robot - 舱体-1 填料函大-1 填料函大零件6-1.STL,robot____cang_ti__1__tian_liao_han_da__1__tian_liao_han_da_ling_jian_6_1,robot____cang_ti__1__tian_liao_han_da__1__tian_liao_han_da_ling_jian_6_1.stl,0.0001
cangti\Robot - 舱体-1 填料函大-1 填料函大零件7-1.STL,robot____cang_ti__1__tian_liao_han_da__1__tian_liao_han_da_ling_jian_7_1,robot____cang_ti__1__tian_liao_han_da__1__tian_liao_han_da_ling_jian_7_1.stl,0.0001
cangti\Robot - 舱体-1 填料函小-1 填料函小零件1-1.STL,robot____cang_ti__1__tian_liao_han_xiao__1__tian_liao_han_xiao_ling_jian_1_1,robot____cang_ti__1__tian_liao_han_xiao__1__tian_liao_han_xiao_ling_jian_1_1.stl,0.0001
cangti\Robot - 舱体-1 填料函小-1 填料函小零件2-1.STL,robot____cang_ti__1__tian_liao_han_xiao__1__tian_liao_han_xiao_ling_jian_2_1,robot____cang_ti__1__tian_liao_han_xiao__1__tian_liao_han_xiao_ling_jian_2_1.stl,0.0001
cangti\Robot - 舱体-1 填料函小-1 填料函小零件3-1.STL,robot____cang_ti__1__tian_liao_han_xiao__1__tian_liao_han_xiao_ling_jian_3_1,robot____cang_ti__1__tian_liao_han_xiao__1__tian_liao_han_xiao_ling_jian_3_1.stl,0.0001
cangti\Robot - 舱体-1 填料函小-1 填料函小零件4-1.STL,robot____cang_ti__1__tian_liao_han_xiao__1__tian_liao_han_xiao_ling_jian_4_1,robot____cang_ti__1__tian_liao_han_xiao__1__tian_liao_han_xiao_ling_jian_4_1.stl,0.0001
cangti\Robot - 舱体-1 舱前盖-1.STL,robot____cang_ti__1__cang_qian_gai__1,robot____cang_ti__1__cang_qian_gai__1.stl,0.0001
cangti\Robot - 舱体-1 舱后盖-2.STL,robot____cang_ti__1__cang_hou_gai__2,robot____cang_ti__1__cang_hou_gai__2.stl,0.0001
cangti\Robot - 舱体-1 舱壳-1.STL,robot____cang_ti__1__cang_ke__1,robot____cang_ti__1__cang_ke__1.stl,0.0001
