epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,61.86,0.91203,1.29601,0.42772,0.7808,0.91413,0.83126,0.92202,0.67765,0.55231,0.47397,0.40983,0.117,0.99462,1.76561,0.63859,0.77852,0.000663805,0.000663805,0.000663805
2,120.621,0.94087,1.32619,0.44853,0.78281,0.89289,0.83363,0.92593,0.66817,0.51628,0.48767,0.41874,0.11874,1.02366,1.74651,0.6689,0.77799,0.00131401,0.00131401,0.00131401
3,177.465,0.99413,1.32661,0.46385,0.78436,0.93206,0.78932,0.91697,0.6554,0.5241,0.44384,0.40127,0.09901,1.05812,1.74824,0.62072,0.78171,0.00194771,0.00194771,0.00194771
4,234.158,1.01155,1.33429,0.47134,0.78537,0.92992,0.8362,0.94136,0.64455,0.57802,0.51976,0.45715,0.12692,1.10431,1.62858,0.59051,0.7787,0.00192575,0.00192575,0.00192575
5,313.4,1.16489,1.44607,0.51677,0.78941,0.91676,0.82976,0.91053,0.60134,0.55065,0.49041,0.40468,0.10696,1.1862,1.6663,0.65146,0.78265,0.001901,0.001901,0.001901
6,404.978,1.01839,1.31539,0.47219,0.78422,0.91504,0.84795,0.93554,0.68796,0.5232,0.4863,0.41283,0.11433,0.98764,1.6255,0.58805,0.77453,0.00187625,0.00187625,0.00187625
7,466.869,0.99548,1.33673,0.46391,0.78399,0.90095,0.86712,0.94196,0.67991,0.56239,0.54658,0.46822,0.14012,1.07751,1.70071,0.61431,0.77923,0.0018515,0.0018515,0.0018515
8,534.907,0.98291,1.29157,0.45213,0.78321,0.89851,0.83562,0.92662,0.70342,0.52735,0.49863,0.40995,0.11204,0.92852,1.69703,0.54405,0.77388,0.00182675,0.00182675,0.00182675
9,610.982,1.03616,1.34099,0.46045,0.78433,0.55266,0.72603,0.70991,0.45149,0.39312,0.51644,0.36563,0.13103,1.75077,1.70551,1.93096,0.82211,0.001802,0.001802,0.001802
10,704.273,0.98117,1.33886,0.45829,0.78345,0.91077,0.86027,0.94297,0.69893,0.56961,0.55296,0.46984,0.13798,0.96956,1.63982,0.55777,0.77342,0.00177725,0.00177725,0.00177725
