epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.7557,0.88502,1.59946,2.26776,1.08292,0.93611,1,0.95792,0.72255,0.93611,1,0.95792,0.78181,0.8594,1.00517,1.58192,0.99576,0.000661376,0.000661376,0.000661376
2,47.5835,0.85803,1.10732,1.39937,1.02652,0.99945,1,0.995,0.77393,0.99945,1,0.995,0.85253,0.91335,0.89435,1.30051,1.02917,0.00131709,0.00131709,0.00131709
3,70.559,0.85879,1.04716,1.28678,1.02243,0.93385,0.94121,0.97413,0.77391,0.93385,0.94121,0.97413,0.82715,0.72264,0.88003,1.18562,0.91646,0.0019618,0.0019618,0.0019618
4,93.5532,0.85951,1.08765,1.19563,1.00249,0.99741,1,0.995,0.76641,0.99741,1,0.995,0.85262,0.80787,0.90811,1.00875,0.98839,0.0019505,0.0019505,0.0019505
5,116.116,0.87493,1.12017,1.16663,1.02982,0.99836,1,0.995,0.79757,0.99836,1,0.995,0.86819,0.75315,0.77225,0.86536,0.93798,0.001934,0.001934,0.001934
6,138.905,0.79433,0.92058,1.01381,0.98622,0.99775,1,0.995,0.82426,0.99775,1,0.995,0.86921,0.7176,0.72316,0.86641,0.91763,0.0019175,0.0019175,0.0019175
7,161.489,0.76573,0.93756,0.96732,0.97993,0.99844,1,0.995,0.82844,0.99844,1,0.995,0.88919,0.70704,0.73996,0.67913,0.88983,0.001901,0.001901,0.001901
8,184.047,0.72434,0.94562,0.85267,0.94936,0.99882,1,0.995,0.82598,0.99882,1,0.995,0.8671,0.69763,0.77384,0.65157,0.91752,0.0018845,0.0018845,0.0018845
9,207.097,0.72626,0.88762,0.82565,0.95449,0.99824,1,0.995,0.84271,0.99824,1,0.995,0.87594,0.7031,0.7586,0.58,0.91683,0.001868,0.001868,0.001868
10,230.179,0.71811,0.87361,0.76835,0.94129,0.99866,1,0.995,0.85016,0.99866,1,0.995,0.88553,0.61794,0.70227,0.53444,0.87834,0.0018515,0.0018515,0.0018515
11,253.449,0.68397,0.84712,0.75669,0.94218,0.99844,1,0.995,0.86872,0.99844,1,0.995,0.85586,0.57306,0.82249,0.48696,0.88607,0.001835,0.001835,0.001835
12,276.689,0.74481,0.95274,0.74171,0.96222,0.99823,1,0.995,0.83662,0.99823,1,0.995,0.87651,0.66066,0.70133,0.4887,0.90915,0.0018185,0.0018185,0.0018185
13,299.306,0.68227,0.90717,0.64127,0.93465,0.99866,1,0.995,0.87027,0.99866,1,0.995,0.87465,0.56524,0.7259,0.43507,0.8773,0.001802,0.001802,0.001802
14,321.782,0.68042,0.88374,0.66189,0.9319,0.99849,1,0.995,0.86466,0.99849,1,0.995,0.88299,0.58613,0.66268,0.48284,0.86931,0.0017855,0.0017855,0.0017855
15,344.504,0.64385,0.81023,0.61108,0.92929,0.9984,1,0.995,0.86328,0.9984,1,0.995,0.88411,0.58439,0.66878,0.49694,0.87858,0.001769,0.001769,0.001769
16,367.136,0.63367,0.79681,0.56119,0.92511,0.99852,1,0.995,0.85714,0.99852,1,0.995,0.88803,0.60835,0.7385,0.4837,0.88569,0.0017525,0.0017525,0.0017525
17,389.698,0.68837,0.78015,0.56866,0.93145,0.9985,1,0.995,0.88112,0.9985,1,0.995,0.87479,0.56385,0.64778,0.38779,0.86722,0.001736,0.001736,0.001736
18,412.283,0.61543,0.75179,0.54622,0.90565,0.9984,1,0.995,0.88134,0.9984,1,0.995,0.90317,0.48866,0.59405,0.37743,0.84442,0.0017195,0.0017195,0.0017195
19,435.049,0.62209,0.80993,0.55539,0.9184,0.99791,1,0.995,0.87602,0.99791,1,0.995,0.88836,0.49133,0.62805,0.36383,0.84786,0.001703,0.001703,0.001703
20,457.847,0.62229,0.77862,0.52626,0.91682,0.99838,1,0.995,0.87527,0.99838,1,0.995,0.8934,0.51028,0.64548,0.39986,0.85463,0.0016865,0.0016865,0.0016865
21,480.502,0.60738,0.7794,0.53966,0.91708,0.99856,1,0.995,0.87476,0.99856,1,0.995,0.92481,0.58373,0.58566,0.3704,0.87272,0.00167,0.00167,0.00167
22,503.536,0.59666,0.7141,0.50281,0.91309,0.99836,1,0.995,0.86509,0.99836,1,0.995,0.888,0.55406,0.64519,0.37034,0.85676,0.0016535,0.0016535,0.0016535
23,526.158,0.60789,0.76244,0.50886,0.89692,0.99863,1,0.995,0.87338,0.99863,1,0.995,0.87597,0.54517,0.6507,0.37177,0.85994,0.001637,0.001637,0.001637
24,549.044,0.58147,0.73295,0.5199,0.90316,0.9978,1,0.995,0.87905,0.9978,1,0.995,0.89877,0.58797,0.61961,0.37269,0.88083,0.0016205,0.0016205,0.0016205
25,571.767,0.5756,0.73423,0.48566,0.90153,0.99862,1,0.995,0.87793,0.99862,1,0.995,0.89941,0.51186,0.62293,0.35128,0.85366,0.001604,0.001604,0.001604
26,594.463,0.58724,0.73572,0.47899,0.90565,0.99869,1,0.995,0.87263,0.99869,1,0.995,0.90874,0.51892,0.61954,0.31127,0.84977,0.0015875,0.0015875,0.0015875
27,616.929,0.57562,0.66959,0.43907,0.89507,0.99858,1,0.995,0.86899,0.99858,1,0.995,0.89884,0.54085,0.58757,0.3553,0.86379,0.001571,0.001571,0.001571
28,639.516,0.59419,0.72857,0.45797,0.89254,0.99774,1,0.995,0.87892,0.99774,1,0.995,0.91299,0.46089,0.57739,0.30076,0.83594,0.0015545,0.0015545,0.0015545
29,662.356,0.57038,0.71681,0.45051,0.91063,0.99865,1,0.995,0.89974,0.99865,1,0.995,0.88488,0.45715,0.61717,0.3273,0.8391,0.001538,0.001538,0.001538
30,685.341,0.56814,0.71845,0.43872,0.90235,0.9987,1,0.995,0.89846,0.9987,1,0.995,0.90621,0.45673,0.5581,0.30633,0.83813,0.0015215,0.0015215,0.0015215
31,708.012,0.53213,0.70156,0.42868,0.89049,0.99864,1,0.995,0.88191,0.99864,1,0.995,0.92833,0.4759,0.57867,0.30241,0.83797,0.001505,0.001505,0.001505
32,730.785,0.56497,0.69744,0.45484,0.89466,0.9985,1,0.995,0.88688,0.9985,1,0.995,0.8976,0.58179,0.56104,0.35696,0.92675,0.0014885,0.0014885,0.0014885
33,753.293,0.56588,0.70338,0.43824,0.90493,0.99871,1,0.995,0.89988,0.99871,1,0.995,0.90097,0.45591,0.59364,0.31947,0.85023,0.001472,0.001472,0.001472
34,775.781,0.54317,0.67558,0.42775,0.88979,0.99877,1,0.995,0.90573,0.99877,1,0.995,0.91978,0.50073,0.62296,0.30292,0.84694,0.0014555,0.0014555,0.0014555
35,798.498,0.51147,0.62307,0.40265,0.87922,0.99861,1,0.995,0.89503,0.99861,1,0.995,0.9093,0.50371,0.56863,0.30508,0.86088,0.001439,0.001439,0.001439
36,821.101,0.52726,0.67057,0.39791,0.88311,0.99871,1,0.995,0.93181,0.99871,1,0.995,0.91847,0.41562,0.60318,0.26956,0.8297,0.0014225,0.0014225,0.0014225
37,843.675,0.50784,0.67758,0.39936,0.88204,0.99869,1,0.995,0.93139,0.99869,1,0.995,0.91481,0.39574,0.56673,0.26808,0.82729,0.001406,0.001406,0.001406
38,866.143,0.51075,0.68877,0.4127,0.87787,0.99866,1,0.995,0.89443,0.99866,1,0.995,0.92326,0.50492,0.5628,0.284,0.83507,0.0013895,0.0013895,0.0013895
39,888.588,0.51059,0.66566,0.70854,0.88908,0.99828,1,0.995,0.93326,0.99828,1,0.995,0.92042,0.3973,0.60679,0.37367,0.82648,0.001373,0.001373,0.001373
40,911.272,0.51892,0.66309,0.45435,0.89065,0.99832,1,0.995,0.91622,0.99832,1,0.995,0.91081,0.45553,0.5822,0.313,0.82964,0.0013565,0.0013565,0.0013565
41,934.103,0.51881,0.66507,0.42979,0.88821,0.99852,1,0.995,0.92732,0.99852,1,0.995,0.92501,0.36644,0.58456,0.26674,0.82136,0.00134,0.00134,0.00134
42,956.663,0.54084,0.6741,0.40215,0.88775,0.99872,1,0.995,0.9242,0.99872,1,0.995,0.93309,0.41265,0.55364,0.26923,0.8343,0.0013235,0.0013235,0.0013235
43,979.147,0.56186,0.71282,0.44732,0.91492,0.9987,1,0.995,0.90641,0.9987,1,0.995,0.92313,0.42423,0.58494,0.29054,0.84408,0.001307,0.001307,0.001307
44,1001.83,0.49202,0.6609,0.39637,0.88693,0.99861,1,0.995,0.91513,0.99861,1,0.995,0.90993,0.45175,0.57301,0.28287,0.83313,0.0012905,0.0012905,0.0012905
45,1024.49,0.50379,0.65341,0.37909,0.88564,0.99835,1,0.995,0.89478,0.99835,1,0.995,0.91043,0.46173,0.55898,0.30038,0.84921,0.001274,0.001274,0.001274
46,1047.25,0.50788,0.67858,0.41386,0.87703,0.99869,1,0.995,0.92179,0.99869,1,0.995,0.91824,0.45465,0.53856,0.29596,0.84716,0.0012575,0.0012575,0.0012575
47,1069.65,0.5335,0.65444,0.39613,0.88458,0.99861,1,0.995,0.90657,0.99861,1,0.995,0.91641,0.44184,0.61577,0.282,0.83001,0.001241,0.001241,0.001241
48,1092.33,0.49848,0.64791,0.39869,0.87228,0.99869,1,0.995,0.90946,0.99869,1,0.995,0.915,0.4391,0.54829,0.27669,0.83864,0.0012245,0.0012245,0.0012245
49,1114.98,0.50762,0.68096,0.36769,0.87545,0.99858,1,0.995,0.89402,0.99858,1,0.995,0.91766,0.48647,0.60862,0.28992,0.84704,0.001208,0.001208,0.001208
50,1137.88,0.5013,0.61898,0.36161,0.87769,0.99874,1,0.995,0.91682,0.99874,1,0.995,0.92295,0.43895,0.57581,0.26372,0.82797,0.0011915,0.0011915,0.0011915
51,1160.93,0.50935,0.68908,0.36919,0.88734,0.99869,1,0.995,0.91027,0.99869,1,0.995,0.92545,0.42153,0.61556,0.26398,0.82536,0.001175,0.001175,0.001175
52,1183.86,0.52202,0.67029,0.39341,0.87559,0.99867,1,0.995,0.94514,0.99867,1,0.995,0.93978,0.35567,0.56602,0.25436,0.81895,0.0011585,0.0011585,0.0011585
53,1206.86,0.48565,0.60672,0.37977,0.87933,0.99862,1,0.995,0.92416,0.99862,1,0.995,0.92521,0.37767,0.55438,0.2521,0.82187,0.001142,0.001142,0.001142
54,1229.81,0.48572,0.60693,0.62845,0.87296,0.99836,1,0.995,0.90199,0.99836,1,0.995,0.90708,0.47835,0.6039,0.31877,0.83937,0.0011255,0.0011255,0.0011255
55,1252.43,0.48093,0.63181,0.38446,0.87904,0.99866,1,0.995,0.90236,0.99866,1,0.995,0.93004,0.52772,0.56014,0.31077,0.89475,0.001109,0.001109,0.001109
56,1275.22,0.45403,0.60214,0.39036,0.86005,0.99878,1,0.995,0.93691,0.99878,1,0.995,0.93233,0.39748,0.53948,0.26971,0.81819,0.0010925,0.0010925,0.0010925
57,1298.18,0.47787,0.6085,0.36308,0.87033,0.99875,1,0.995,0.92475,0.99875,1,0.995,0.92285,0.43456,0.57496,0.25911,0.83617,0.001076,0.001076,0.001076
58,1320.6,0.49329,0.6589,0.38156,0.87924,0.99853,1,0.995,0.91815,0.99853,1,0.995,0.92193,0.49077,0.54218,0.33833,0.89179,0.0010595,0.0010595,0.0010595
59,1343.58,0.47801,0.63526,0.34705,0.87389,0.99864,1,0.995,0.91481,0.99864,1,0.995,0.90715,0.50232,0.63377,0.32682,0.89521,0.001043,0.001043,0.001043
60,1366.37,0.47302,0.61809,0.33381,0.86905,0.99876,1,0.995,0.91269,0.99876,1,0.995,0.92062,0.47579,0.5669,0.28662,0.8614,0.0010265,0.0010265,0.0010265
61,1388.92,0.4636,0.6416,0.36786,0.88462,0.99872,1,0.995,0.9111,0.99872,1,0.995,0.91905,0.4625,0.6036,0.26669,0.86166,0.00101,0.00101,0.00101
62,1411.66,0.45913,0.63194,0.3543,0.85948,0.99869,1,0.995,0.90962,0.99869,1,0.995,0.90342,0.45916,0.64124,0.25664,0.84541,0.0009935,0.0009935,0.0009935
63,1434.35,0.46181,0.66475,0.36435,0.86497,0.99869,1,0.995,0.91739,0.99869,1,0.995,0.91871,0.40869,0.57578,0.25899,0.82962,0.000977,0.000977,0.000977
64,1457.1,0.46643,0.60913,0.32867,0.88193,0.9987,1,0.995,0.91438,0.9987,1,0.995,0.90131,0.48491,0.61349,0.31273,0.8739,0.0009605,0.0009605,0.0009605
65,1479.84,0.46044,0.6478,0.34524,0.86068,0.99875,1,0.995,0.92845,0.99875,1,0.995,0.92059,0.41009,0.5388,0.23254,0.81394,0.000944,0.000944,0.000944
66,1502.62,0.45796,0.56126,0.34316,0.85769,0.99873,1,0.995,0.93673,0.99873,1,0.995,0.93284,0.36827,0.53251,0.23042,0.80927,0.0009275,0.0009275,0.0009275
67,1525.1,0.45026,0.59697,0.3283,0.86926,0.9987,1,0.995,0.93057,0.9987,1,0.995,0.90828,0.42272,0.62428,0.2476,0.82692,0.000911,0.000911,0.000911
68,1547.89,0.46665,0.59106,0.3505,0.86734,0.9987,1,0.995,0.93947,0.9987,1,0.995,0.91251,0.36877,0.57377,0.22503,0.81283,0.0008945,0.0008945,0.0008945
69,1570.7,0.4603,0.61737,0.35608,0.86541,0.99873,1,0.995,0.93206,0.99873,1,0.995,0.93115,0.41742,0.57286,0.25127,0.82364,0.000878,0.000878,0.000878
