epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.3123,1.50616,2.11728,0.84052,0.72068,0.6377,0.65459,0.37505,1.41662,1.5147,0.79535,0.00062,0.00062,0.00062
2,29.0189,1.27128,0.82501,0.79885,0.18902,0.65304,0.15755,0.05491,2.00036,47.5687,0.82153,0.0012496,0.0012496,0.0012496
3,47.4466,1.3934,0.71511,0.80571,0.67409,0.74934,0.65225,0.32165,1.53015,1.18414,0.80387,0.00186865,0.00186865,0.00186865
4,67.0801,1.48666,0.75406,0.81302,0.76235,0.81806,0.781,0.2954,1.78993,1.16443,0.81616,0.0019505,0.0019505,0.0019505
5,84.8937,1.34807,0.67973,0.80628,0.9164,0.85939,0.93124,0.54667,1.35402,0.59841,0.80034,0.001934,0.001934,0.001934
6,102.014,1.21204,0.59778,0.80102,0.92432,0.86288,0.94088,0.61046,1.12479,0.57435,0.78254,0.0019175,0.0019175,0.0019175
7,120.5,1.14614,0.5545,0.79582,0.91236,0.87686,0.93656,0.55574,1.28393,0.60319,0.79156,0.001901,0.001901,0.001901
8,133.688,1.13001,0.56289,0.79826,0.90978,0.85424,0.93164,0.62118,1.09693,0.54058,0.78312,0.0018845,0.0018845,0.0018845
9,151.046,1.13457,0.54968,0.79451,0.90262,0.87249,0.94967,0.65765,1.05458,0.49008,0.7889,0.001868,0.001868,0.001868
10,169.174,1.05848,0.51709,0.79511,0.91506,0.8131,0.92625,0.61828,1.0648,0.54649,0.78472,0.0018515,0.0018515,0.0018515
11,185.911,1.06027,0.5164,0.79153,0.92034,0.87336,0.94639,0.62183,1.08993,0.49559,0.78326,0.001835,0.001835,0.001835
12,199.416,1.11658,0.52824,0.79406,0.9024,0.88035,0.94772,0.63642,1.05413,0.49858,0.78424,0.0018185,0.0018185,0.0018185
13,210.06,1.05809,0.50043,0.79267,0.91301,0.83406,0.92607,0.66466,0.97114,0.51141,0.78315,0.001802,0.001802,0.001802
14,220.889,1.14364,0.528,0.79227,0.92672,0.8559,0.93705,0.63393,1.04585,0.51392,0.78565,0.0017855,0.0017855,0.0017855
15,231.589,1.07338,0.50451,0.79078,0.92074,0.87074,0.94193,0.67789,0.95084,0.47843,0.78235,0.001769,0.001769,0.001769
16,242.425,0.9918,0.4888,0.79005,0.92139,0.85066,0.94074,0.67164,0.95625,0.49595,0.78188,0.0017525,0.0017525,0.0017525
17,253.225,1.02742,0.49489,0.78756,0.91924,0.89469,0.95921,0.68835,1.01202,0.49306,0.78357,0.001736,0.001736,0.001736
18,264.614,1.01596,0.4943,0.78779,0.94329,0.88611,0.95982,0.67043,0.97861,0.46534,0.78058,0.0017195,0.0017195,0.0017195
19,275.389,0.96594,0.47635,0.78405,0.92032,0.88774,0.95893,0.70252,0.89395,0.44879,0.77626,0.001703,0.001703,0.001703
20,286.163,0.9502,0.46859,0.78527,0.95435,0.85823,0.95746,0.69598,0.90407,0.46031,0.7775,0.0016865,0.0016865,0.0016865
21,296.883,1.04691,0.49571,0.78867,0.94378,0.87966,0.96394,0.67339,0.97791,0.47061,0.78009,0.00167,0.00167,0.00167
22,311.221,1.02049,0.49102,0.78668,0.91518,0.84716,0.93893,0.64109,1.02239,0.51599,0.78354,0.0016535,0.0016535,0.0016535
23,328.215,1.044,0.48839,0.79166,0.915,0.8649,0.94402,0.64584,1.00312,0.47019,0.78393,0.001637,0.001637,0.001637
24,344.124,0.97056,0.46215,0.78836,0.92172,0.86384,0.9509,0.68149,0.93599,0.46539,0.77993,0.0016205,0.0016205,0.0016205
25,360.55,0.9529,0.45646,0.78911,0.93246,0.89345,0.9617,0.69291,0.94499,0.45191,0.78189,0.001604,0.001604,0.001604
26,377.03,0.9105,0.44092,0.78713,0.93375,0.8786,0.9604,0.71901,0.88549,0.44975,0.77907,0.0015875,0.0015875,0.0015875
27,393.92,1.07375,0.48491,0.79098,0.92333,0.88346,0.96084,0.63558,1.13545,0.49736,0.78391,0.001571,0.001571,0.001571
28,411.563,1.14226,0.52677,0.79226,0.92106,0.82445,0.92864,0.58511,1.17909,0.54857,0.78867,0.0015545,0.0015545,0.0015545
29,429.42,1.03842,0.48849,0.79238,0.9405,0.86987,0.95479,0.67369,0.96811,0.45566,0.78297,0.001538,0.001538,0.001538
30,445.935,1.00048,0.47248,0.78892,0.93818,0.86463,0.95068,0.67552,0.96024,0.46876,0.78059,0.0015215,0.0015215,0.0015215
31,462.946,1.03974,0.49821,0.78969,0.93166,0.87074,0.95273,0.68927,0.93937,0.46048,0.77985,0.001505,0.001505,0.001505
32,480.143,0.95845,0.46514,0.78519,0.94704,0.87336,0.96065,0.70309,0.91814,0.44912,0.77925,0.0014885,0.0014885,0.0014885
33,496.977,0.969,0.46326,0.78781,0.91418,0.86812,0.94958,0.66991,0.96491,0.46668,0.78036,0.001472,0.001472,0.001472
34,513.39,0.91769,0.4419,0.78378,0.91808,0.89432,0.95844,0.71189,0.86062,0.43397,0.77716,0.0014555,0.0014555,0.0014555
35,530.069,0.96721,0.46051,0.7834,0.9436,0.86206,0.95238,0.67121,0.96128,0.45941,0.77858,0.001439,0.001439,0.001439
36,546.943,0.88256,0.42702,0.78873,0.9337,0.87323,0.95575,0.71216,0.85323,0.42972,0.77949,0.0014225,0.0014225,0.0014225
37,563.535,0.88254,0.41843,0.78694,0.93227,0.87336,0.95794,0.7162,0.87556,0.42749,0.77912,0.001406,0.001406,0.001406
38,578.318,0.87362,0.41326,0.78546,0.91495,0.89262,0.95724,0.7159,0.88185,0.42015,0.77951,0.0013895,0.0013895,0.0013895
39,589.088,0.9118,0.42928,0.78623,0.935,0.89194,0.96073,0.71965,0.87675,0.42879,0.77807,0.001373,0.001373,0.001373
40,599.856,0.90565,0.42666,0.78419,0.91908,0.89782,0.96241,0.72416,0.83033,0.42086,0.77597,0.0013565,0.0013565,0.0013565
41,610.602,0.92448,0.43663,0.78252,0.93392,0.86406,0.95329,0.66834,0.963,0.45368,0.77928,0.00134,0.00134,0.00134
42,621.821,0.92166,0.43748,0.78458,0.92393,0.88044,0.95643,0.70242,0.89306,0.43824,0.77736,0.0013235,0.0013235,0.0013235
43,632.649,0.87991,0.42439,0.78174,0.93022,0.89083,0.96166,0.71827,0.84079,0.41198,0.77912,0.001307,0.001307,0.001307
44,643.389,0.87599,0.41525,0.78509,0.93759,0.88384,0.96281,0.7151,0.90069,0.44267,0.77845,0.0012905,0.0012905,0.0012905
45,654.163,0.84837,0.40791,0.78353,0.95645,0.8631,0.96307,0.72107,0.84233,0.41454,0.77728,0.001274,0.001274,0.001274
46,664.916,0.84734,0.40287,0.78424,0.93536,0.87948,0.96027,0.73327,0.81205,0.40451,0.77775,0.0012575,0.0012575,0.0012575
47,675.66,0.83272,0.39514,0.7822,0.93725,0.87401,0.95896,0.72873,0.81547,0.40831,0.77702,0.001241,0.001241,0.001241
48,686.65,0.84318,0.40243,0.77988,0.9364,0.87444,0.95901,0.7192,0.80516,0.40818,0.7753,0.0012245,0.0012245,0.0012245
49,697.379,0.83108,0.40415,0.78251,0.91675,0.88559,0.95628,0.7252,0.82499,0.42339,0.77522,0.001208,0.001208,0.001208
50,708.115,0.89387,0.41423,0.78072,0.9238,0.90131,0.96252,0.71327,0.89641,0.43298,0.77529,0.0011915,0.0011915,0.0011915
51,719.059,0.85571,0.40506,0.78343,0.93046,0.87637,0.95915,0.72525,0.81151,0.41353,0.77695,0.001175,0.001175,0.001175
52,729.785,0.83214,0.39844,0.78197,0.9243,0.89575,0.96349,0.73599,0.8075,0.40814,0.7766,0.0011585,0.0011585,0.0011585
53,740.487,0.83646,0.39291,0.77997,0.93521,0.88239,0.96375,0.74176,0.78325,0.39989,0.77485,0.001142,0.001142,0.001142
54,751.222,0.81035,0.37833,0.78219,0.9251,0.88456,0.96233,0.73619,0.78504,0.39006,0.7762,0.0011255,0.0011255,0.0011255
55,761.959,0.79871,0.37955,0.77777,0.9423,0.88435,0.96184,0.74166,0.78575,0.394,0.7748,0.001109,0.001109,0.001109
56,772.806,0.81595,0.3823,0.78224,0.93495,0.87249,0.95789,0.72607,0.80893,0.40148,0.77625,0.0010925,0.0010925,0.0010925
57,783.513,0.81333,0.38223,0.77913,0.94109,0.86812,0.95806,0.7212,0.81642,0.40276,0.77634,0.001076,0.001076,0.001076
58,794.276,0.79076,0.37211,0.77831,0.93237,0.87162,0.95842,0.73323,0.79793,0.40124,0.77711,0.0010595,0.0010595,0.0010595
59,804.919,0.76957,0.37607,0.77873,0.93005,0.89694,0.96271,0.74021,0.78244,0.38985,0.77461,0.001043,0.001043,0.001043
60,815.513,0.8239,0.38673,0.77937,0.94484,0.86773,0.95931,0.72958,0.81387,0.40685,0.77445,0.0010265,0.0010265,0.0010265
61,826.051,0.85245,0.39449,0.77844,0.91054,0.87948,0.95661,0.69209,0.87362,0.43271,0.77747,0.00101,0.00101,0.00101
62,837.365,0.80484,0.38318,0.77855,0.93692,0.86812,0.96057,0.72022,0.85678,0.42741,0.7771,0.0009935,0.0009935,0.0009935
63,848.98,0.80458,0.38086,0.77897,0.9486,0.87045,0.96354,0.73038,0.79883,0.40027,0.77376,0.000977,0.000977,0.000977
64,860.4,0.83914,0.38594,0.78173,0.92937,0.88492,0.9661,0.70263,0.93801,0.43857,0.77711,0.0009605,0.0009605,0.0009605
65,871.348,0.84181,0.39762,0.77948,0.92504,0.88646,0.95931,0.72583,0.81146,0.40191,0.77622,0.000944,0.000944,0.000944
