epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.877,1.60078,2.21222,2.13864,0.84288,0.93563,0.71703,0.83405,0.5109,0.57714,0.50898,0.42512,0.12342,1.36601,1.49488,1.00516,0.80188,0.00062,0.00062,0.00062
2,36.0959,1.3656,1.73308,0.88545,0.80597,0,0,0,0,0,0,0,0,5.43852,662.499,inf,11.8037,0.0012496,0.0012496,0.0012496
3,53.1151,1.54677,1.90108,0.91163,0.81607,0.01049,0.12314,0.00587,0.00394,0.00848,0.09956,0.00465,0.00187,1.79192,142.914,inf,0.96951,0.00186865,0.00186865,0.00186865
4,70.2507,1.43867,1.76773,0.74225,0.81487,0.75152,0.70306,0.78078,0.4742,0.42993,0.44856,0.35933,0.11451,1.40821,1.50316,0.8623,0.80324,0.0019505,0.0019505,0.0019505
5,87.3151,1.32744,1.43893,0.64466,0.808,0.88199,0.80786,0.90741,0.56172,0.55074,0.54847,0.43729,0.13658,1.22596,1.39543,0.66087,0.78835,0.001934,0.001934,0.001934
6,104.371,1.26351,1.50179,0.62587,0.80701,0.87999,0.82969,0.90845,0.56985,0.47905,0.46114,0.36875,0.09057,1.20952,1.88775,0.61812,0.78595,0.0019175,0.0019175,0.0019175
7,121.281,1.23025,1.59017,0.66046,0.79956,0.83992,0.76245,0.84929,0.49883,0.54123,0.48908,0.45617,0.1371,1.27198,1.70112,0.72385,0.79157,0.001901,0.001901,0.001901
8,137.971,1.22522,1.46125,0.62409,0.80019,0.88543,0.77991,0.89191,0.57976,0.53182,0.53176,0.43692,0.13755,1.21245,1.25014,0.60998,0.79339,0.0018845,0.0018845,0.0018845
9,154.256,1.08814,1.30595,0.5742,0.79178,0.91902,0.86226,0.93469,0.60948,0.61704,0.59947,0.48137,0.14445,1.10141,1.26459,0.60697,0.78311,0.001868,0.001868,0.001868
10,171.153,1.17848,1.4429,0.54971,0.80121,0.9027,0.8393,0.92701,0.59771,0.57528,0.53799,0.42378,0.11486,1.14122,1.442,0.56699,0.78565,0.0018515,0.0018515,0.0018515
11,188.055,1.15138,1.38965,0.55754,0.79434,0.91753,0.82595,0.93101,0.60776,0.56438,0.50805,0.46585,0.15154,1.13347,1.28401,0.56193,0.78439,0.001835,0.001835,0.001835
12,205.056,1.15196,1.31647,0.54977,0.79542,0.93645,0.86229,0.94185,0.62245,0.57718,0.54847,0.4615,0.13186,1.11444,1.27779,0.50358,0.78757,0.0018185,0.0018185,0.0018185
13,222.162,1.14298,1.32206,0.52821,0.79683,0.91845,0.87547,0.94954,0.64478,0.56393,0.53988,0.44126,0.13349,1.1899,1.23675,0.54762,0.79545,0.001802,0.001802,0.001802
14,239.194,1.12086,1.34165,0.54486,0.79268,0.93254,0.8655,0.94371,0.65629,0.57171,0.57241,0.48307,0.14601,1.05318,1.23609,0.51251,0.78484,0.0017855,0.0017855,0.0017855
15,256.285,1.09781,1.29699,0.53327,0.79374,0.93828,0.8786,0.95535,0.62604,0.56909,0.55721,0.43919,0.12499,1.08736,1.17305,0.50506,0.78559,0.001769,0.001769,0.001769
16,273.38,1.06234,1.29704,0.52431,0.79342,0.93249,0.87686,0.94264,0.65653,0.56424,0.5345,0.4679,0.12712,1.02772,1.2071,0.49468,0.78248,0.0017525,0.0017525,0.0017525
17,290.476,1.0995,1.29938,0.51607,0.79127,0.93632,0.87424,0.9484,0.66121,0.5728,0.53634,0.43975,0.13248,1.02769,1.20513,0.49978,0.78698,0.001736,0.001736,0.001736
18,307.512,1.03468,1.23778,0.50632,0.79054,0.95094,0.86725,0.95865,0.68111,0.57592,0.58603,0.47786,0.14582,0.95312,1.1027,0.47886,0.78096,0.0017195,0.0017195,0.0017195
19,324.943,1.16516,1.27104,0.53454,0.79463,0.899,0.88297,0.94659,0.63166,0.48068,0.47424,0.34904,0.09343,1.08791,1.26701,0.51547,0.7859,0.001703,0.001703,0.001703
20,341.783,1.13622,1.29786,0.53383,0.79477,0.91722,0.84194,0.93527,0.62166,0.5018,0.44978,0.40117,0.11327,1.16391,1.22248,0.54552,0.79201,0.0016865,0.0016865,0.0016865
21,358.876,1.1631,1.27264,0.53688,0.79336,0.94645,0.87074,0.94816,0.5491,0.70481,0.67354,0.61584,0.22057,1.32717,1.11979,0.57659,0.78995,0.00167,0.00167,0.00167
22,375.812,1.06699,1.20768,0.52027,0.79172,0.94672,0.89083,0.95878,0.65499,0.62001,0.58079,0.54087,0.18295,1.12536,1.13789,0.52543,0.79094,0.0016535,0.0016535,0.0016535
23,392.767,1.04919,1.3008,0.50453,0.7944,0.91553,0.88559,0.95146,0.66994,0.59811,0.55983,0.48264,0.14055,0.98999,1.24357,0.49024,0.78335,0.001637,0.001637,0.001637
24,409.148,1.07246,1.37865,0.52171,0.79053,0.91784,0.87813,0.94695,0.62003,0.49914,0.49607,0.38936,0.11198,1.08479,1.4736,0.54192,0.78453,0.0016205,0.0016205,0.0016205
25,425.593,1.04428,1.28601,0.5091,0.79238,0.93386,0.8524,0.93987,0.64374,0.5906,0.57729,0.46768,0.14079,1.02723,1.14993,0.49342,0.78296,0.001604,0.001604,0.001604
26,441.884,0.99337,1.31596,0.48585,0.79044,0.93476,0.87596,0.95979,0.67825,0.55403,0.54323,0.4434,0.12696,1.00085,1.29387,0.50013,0.78266,0.0015875,0.0015875,0.0015875
27,458.905,1.04852,1.2929,0.49656,0.79121,0.94508,0.87176,0.95689,0.58266,0.66896,0.62707,0.54917,0.1832,1.25009,1.16129,0.55131,0.78916,0.001571,0.001571,0.001571
28,475.682,1.02824,1.24352,0.49371,0.78789,0.95539,0.86725,0.95899,0.67556,0.61025,0.56749,0.48758,0.15456,0.97544,1.13699,0.4723,0.78123,0.0015545,0.0015545,0.0015545
29,492.241,1.00878,1.16466,0.49128,0.79128,0.94173,0.86987,0.95988,0.70012,0.57725,0.54236,0.47826,0.1461,0.97649,1.11151,0.47566,0.78374,0.001538,0.001538,0.001538
30,509.034,0.98756,1.26706,0.48496,0.78626,0.95352,0.87796,0.95421,0.65778,0.59331,0.55197,0.45675,0.13506,1.0252,1.16374,0.49458,0.7851,0.0015215,0.0015215,0.0015215
31,525.832,0.96269,1.25352,0.47042,0.7902,0.9323,0.87074,0.95226,0.61094,0.58278,0.55633,0.48221,0.15284,1.16222,1.25758,0.49795,0.78617,0.001505,0.001505,0.001505
32,542.585,0.99592,1.26342,0.49288,0.78648,0.94376,0.87249,0.95459,0.65506,0.57679,0.54672,0.4618,0.13189,1.07115,1.22954,0.5021,0.78564,0.0014885,0.0014885,0.0014885
33,559.177,0.98522,1.24945,0.4916,0.78643,0.91571,0.91087,0.96461,0.63939,0.61436,0.61834,0.55135,0.19068,1.16398,1.34071,0.5243,0.78788,0.001472,0.001472,0.001472
34,576.065,1.07381,1.29731,0.49997,0.7898,0.93128,0.89947,0.96397,0.61203,0.64265,0.6393,0.54546,0.18106,1.28685,1.18576,0.55235,0.79445,0.0014555,0.0014555,0.0014555
35,592.868,1.02954,1.25796,0.49134,0.78784,0.9302,0.84958,0.94567,0.66595,0.54892,0.52664,0.43013,0.11452,0.91941,1.18798,0.47196,0.7782,0.001439,0.001439,0.001439
36,609.826,0.99856,1.20444,0.4846,0.79188,0.94057,0.89345,0.96181,0.67801,0.60336,0.58515,0.54044,0.18164,1.09863,1.12966,0.51701,0.78796,0.0014225,0.0014225,0.0014225
37,626.793,1.04406,1.37114,0.48754,0.79179,0.92162,0.91092,0.9657,0.63085,0.64513,0.5738,0.49241,0.16087,1.1367,1.28603,0.50985,0.78574,0.001406,0.001406,0.001406
38,643.983,0.97222,1.21177,0.45978,0.78977,0.93356,0.85764,0.95047,0.69168,0.53306,0.53013,0.43033,0.1265,0.9078,1.20187,0.46764,0.78088,0.0013895,0.0013895,0.0013895
39,660.781,0.96304,1.1822,0.46876,0.78742,0.9348,0.88035,0.9626,0.70649,0.56704,0.56507,0.48588,0.14085,0.92281,1.18564,0.45939,0.77892,0.001373,0.001373,0.001373
40,679.023,0.96379,1.19778,0.46506,0.78863,0.93176,0.8786,0.9578,0.65627,0.63117,0.59781,0.52805,0.17806,1.08987,1.08939,0.50089,0.7851,0.0013565,0.0013565,0.0013565
41,697.279,0.92306,1.12608,0.45059,0.78566,0.95362,0.86194,0.96044,0.6836,0.60161,0.57766,0.50356,0.16077,1.03082,1.06981,0.47928,0.78477,0.00134,0.00134,0.00134
42,716.461,0.94447,1.13153,0.46174,0.78687,0.9172,0.8952,0.9589,0.69585,0.58621,0.59039,0.50895,0.15635,0.95432,1.14606,0.45289,0.78038,0.0013235,0.0013235,0.0013235
43,735.753,0.90073,1.15037,0.44636,0.78158,0.93351,0.89083,0.96277,0.69985,0.57162,0.58153,0.47879,0.14124,0.91132,1.13335,0.443,0.77903,0.001307,0.001307,0.001307
