epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.1534,0.8724,1.96368,2.47836,1.10431,0.00326,1,0.92991,0.7211,0.00326,1,0.94355,0.74414,0.7371,1.55048,2.5959,0.97336,0.00062,0.00062,0.00062
2,23.772,0.81675,1.08387,1.34733,1.00624,0.9724,0.80098,0.93533,0.69509,0.9724,0.80098,0.93533,0.64718,0.88364,3.18686,2.04967,1.03909,0.0012496,0.0012496,0.0012496
3,35.2489,0.75445,1.16315,1.19061,0.98084,0.94632,1,0.9537,0.56046,0.94632,1,0.9537,0.74942,1.23477,1.14873,1.61739,1.501,0.00186865,0.00186865,0.00186865
4,46.6294,0.88809,1.27732,1.25695,1.03446,0.93434,0.97027,0.97083,0.7372,0.93434,0.97027,0.97083,0.82194,0.88773,1.31641,1.50344,1.09156,0.0019505,0.0019505,0.0019505
5,57.9064,0.83601,1.00551,1.09691,0.99533,0.88758,0.90909,0.96256,0.74296,0.88758,0.90909,0.96256,0.67544,0.80736,2.21955,1.21446,0.98152,0.001934,0.001934,0.001934
6,69.1268,0.78574,0.97394,1.01249,0.98101,0.76765,0.81818,0.89494,0.68154,0.77247,0.81818,0.86711,0.52059,0.95732,2.43829,1.26357,1.10689,0.0019175,0.0019175,0.0019175
7,81.113,0.74843,0.93443,0.89714,0.95424,0.95346,1,0.97834,0.78234,0.95346,1,0.97834,0.73795,0.71138,1.56325,0.91185,0.91162,0.001901,0.001901,0.001901
8,92.5471,0.72265,0.9391,0.81919,0.94606,0.97741,1,0.97989,0.84199,0.97741,1,0.97989,0.85636,0.66677,0.81523,0.71016,0.91599,0.0018845,0.0018845,0.0018845
9,103.96,0.68449,0.90125,0.74383,0.94267,0.97628,1,0.985,0.82908,0.97628,1,0.985,0.85147,0.60475,0.85126,0.56844,0.89083,0.001868,0.001868,0.001868
10,115.316,0.62679,0.813,0.69974,0.92875,0.9762,1,0.987,0.86783,0.9762,1,0.987,0.86236,0.53579,0.83695,0.5069,0.86617,0.0018515,0.0018515,0.0018515
11,126.662,0.60226,0.74115,0.63951,0.91594,0.97647,1,0.97989,0.84545,0.97647,1,0.97989,0.87096,0.65431,0.75015,0.57071,0.92067,0.001835,0.001835,0.001835
12,138.306,0.65734,0.82044,0.63487,0.93183,0.97644,1,0.98456,0.82631,0.97644,1,0.98456,0.85532,0.57847,0.72511,0.51059,0.90224,0.0018185,0.0018185,0.0018185
13,149.773,0.66904,0.79737,0.62217,0.92119,0.97618,1,0.97633,0.82377,0.97618,1,0.97633,0.85969,0.59713,0.69193,0.52362,0.89135,0.001802,0.001802,0.001802
14,161.329,0.63322,0.80003,0.58732,0.92169,0.97628,1,0.975,0.84751,0.97628,1,0.975,0.85308,0.58882,0.71622,0.51348,0.89788,0.0017855,0.0017855,0.0017855
15,172.795,0.6143,0.78031,0.5508,0.90984,0.9762,1,0.97744,0.8628,0.9762,1,0.97744,0.84417,0.54949,0.8015,0.49626,0.87748,0.001769,0.001769,0.001769
16,184.404,0.61593,0.79302,0.53707,0.91777,0.97639,1,0.98811,0.86047,0.97639,1,0.98811,0.86083,0.55143,0.7193,0.42976,0.85882,0.0017525,0.0017525,0.0017525
17,195.815,0.61221,0.72687,0.51549,0.91178,0.97605,1,0.98544,0.8892,0.97605,1,0.98544,0.8765,0.5001,0.65072,0.42463,0.84974,0.001736,0.001736,0.001736
18,207.229,0.60039,0.80327,0.49958,0.91665,0.97648,1,0.98544,0.87781,0.97648,1,0.98544,0.87763,0.52036,0.64717,0.42566,0.84814,0.0017195,0.0017195,0.0017195
19,218.53,0.57901,0.75747,0.47058,0.90179,0.97651,1,0.98144,0.87204,0.97651,1,0.98144,0.85555,0.53044,0.72452,0.37276,0.88999,0.001703,0.001703,0.001703
20,229.825,0.61498,0.79291,0.48671,0.90673,0.97613,1,0.98656,0.8706,0.97613,1,0.98656,0.8854,0.57736,0.64484,0.39967,0.88906,0.0016865,0.0016865,0.0016865
21,241.213,0.57384,0.75578,0.47521,0.91051,0.97601,1,0.99011,0.85246,0.97601,1,0.99011,0.88736,0.55086,0.64035,0.38318,0.86294,0.00167,0.00167,0.00167
22,252.519,0.5471,0.73699,0.4584,0.88525,0.97646,1,0.98544,0.88937,0.97646,1,0.98544,0.86056,0.48034,0.70974,0.35792,0.84102,0.0016535,0.0016535,0.0016535
23,263.722,0.56891,0.75414,0.43969,0.90524,0.97643,1,0.98656,0.8842,0.97643,1,0.98656,0.88938,0.51088,0.6514,0.36113,0.8459,0.001637,0.001637,0.001637
24,275.018,0.55902,0.80097,0.42805,0.89664,0.97625,1,0.97389,0.85539,0.97625,1,0.97389,0.8303,0.53999,0.8515,0.37285,0.87107,0.0016205,0.0016205,0.0016205
25,286.487,0.54043,0.72743,0.41266,0.89293,0.97639,1,0.97744,0.86858,0.97639,1,0.97744,0.86131,0.49092,0.69687,0.37824,0.86589,0.001604,0.001604,0.001604
26,297.827,0.54715,0.72374,0.41377,0.88963,0.9764,1,0.98456,0.87103,0.9764,1,0.98456,0.85238,0.50335,0.67252,0.35396,0.84486,0.0015875,0.0015875,0.0015875
27,309.196,0.50913,0.67931,0.38755,0.88796,0.97645,1,0.981,0.86172,0.97645,1,0.981,0.87034,0.5106,0.64128,0.34944,0.85936,0.001571,0.001571,0.001571
28,320.709,0.53742,0.73867,0.40502,0.89295,0.9765,1,0.98811,0.88797,0.9765,1,0.98811,0.88032,0.52544,0.62609,0.33553,0.85183,0.0015545,0.0015545,0.0015545
29,332.249,0.49866,0.63964,0.38126,0.88111,0.97636,1,0.98056,0.87973,0.97636,1,0.98056,0.86895,0.49366,0.71134,0.33054,0.82935,0.001538,0.001538,0.001538
30,343.564,0.52399,0.71761,0.38401,0.88315,0.97654,1,0.97633,0.88385,0.97654,1,0.97633,0.85692,0.46558,0.65704,0.32191,0.83356,0.0015215,0.0015215,0.0015215
31,354.961,0.53221,0.72063,0.38102,0.89481,0.97644,1,0.97989,0.86262,0.97644,1,0.97989,0.85682,0.50931,0.65736,0.32819,0.8914,0.001505,0.001505,0.001505
32,366.274,0.55496,0.76021,0.39825,0.87702,0.97648,1,0.98056,0.86748,0.97648,1,0.98056,0.8819,0.49402,0.6438,0.32803,0.82802,0.0014885,0.0014885,0.0014885
33,377.783,0.507,0.65668,0.37552,0.8782,0.9765,1,0.98744,0.87538,0.9765,1,0.98744,0.8779,0.49268,0.6688,0.31746,0.85006,0.001472,0.001472,0.001472
34,389.307,0.52825,0.7003,0.38424,0.88997,0.97651,1,0.979,0.88109,0.97651,1,0.979,0.8747,0.46849,0.69589,0.31297,0.84026,0.0014555,0.0014555,0.0014555
35,400.767,0.50342,0.66446,0.36959,0.88299,0.97657,1,0.98256,0.8954,0.97657,1,0.98256,0.86875,0.46341,0.60662,0.30907,0.82812,0.001439,0.001439,0.001439
36,412.175,0.4916,0.70976,0.36507,0.86731,0.97641,1,0.98389,0.89199,0.97641,1,0.98389,0.87841,0.49803,0.67265,0.30603,0.82801,0.0014225,0.0014225,0.0014225
37,423.603,0.52156,0.71889,0.36722,0.8868,0.97647,1,0.97389,0.89056,0.97647,1,0.97389,0.88937,0.47706,0.61965,0.3102,0.8315,0.001406,0.001406,0.001406
38,435.29,0.48378,0.67529,0.35074,0.88463,0.97655,1,0.97833,0.8819,0.97655,1,0.97833,0.8758,0.49539,0.63001,0.31905,0.84798,0.0013895,0.0013895,0.0013895
39,446.808,0.48946,0.64698,0.33738,0.87864,0.97658,1,0.97433,0.8813,0.97658,1,0.97433,0.86981,0.42967,0.60011,0.30883,0.8369,0.001373,0.001373,0.001373
40,458.406,0.49723,0.70129,0.35172,0.87278,0.97653,1,0.97344,0.87907,0.97653,1,0.97344,0.86149,0.44978,0.62316,0.32059,0.86234,0.0013565,0.0013565,0.0013565
41,470.092,0.49426,0.71401,0.34645,0.89486,0.97652,1,0.97289,0.88963,0.97652,1,0.97289,0.8624,0.43111,0.66873,0.30494,0.84762,0.00134,0.00134,0.00134
42,481.628,0.4861,0.71404,0.35089,0.87774,0.97657,1,0.98389,0.92079,0.97657,1,0.98389,0.88075,0.40288,0.61321,0.30259,0.84117,0.0013235,0.0013235,0.0013235
43,493.237,0.48996,0.68088,0.35281,0.87341,0.97651,1,0.99167,0.90733,0.97651,1,0.99167,0.88569,0.39935,0.65598,0.29493,0.81791,0.001307,0.001307,0.001307
44,504.896,0.51142,0.74606,0.35465,0.88434,0.97655,1,0.97389,0.87825,0.97655,1,0.97389,0.8477,0.44784,0.63485,0.28951,0.85781,0.0012905,0.0012905,0.0012905
45,516.592,0.51124,0.66576,0.34958,0.88355,0.97655,1,0.97389,0.87989,0.97655,1,0.97389,0.87443,0.43098,0.60802,0.28475,0.83566,0.001274,0.001274,0.001274
46,528.009,0.48211,0.59976,0.3319,0.8655,0.97655,1,0.975,0.91606,0.97655,1,0.975,0.8852,0.42544,0.62697,0.28378,0.81701,0.0012575,0.0012575,0.0012575
47,539.406,0.47059,0.59917,0.33597,0.87781,0.97653,1,0.97944,0.89905,0.97653,1,0.97944,0.88209,0.44413,0.61171,0.28584,0.8368,0.001241,0.001241,0.001241
48,550.761,0.47327,0.63846,0.32733,0.86902,0.97652,1,0.98344,0.89518,0.97652,1,0.98344,0.89062,0.44162,0.60425,0.2896,0.82394,0.0012245,0.0012245,0.0012245
49,562.257,0.50462,0.67205,0.35221,0.89409,0.97659,1,0.98056,0.89528,0.97659,1,0.98056,0.89219,0.41504,0.58429,0.29849,0.84077,0.001208,0.001208,0.001208
50,573.69,0.49271,0.6395,0.33489,0.87781,0.97633,1,0.98256,0.88521,0.97633,1,0.98256,0.86864,0.43832,0.65635,0.31124,0.84407,0.0011915,0.0011915,0.0011915
51,584.99,0.48272,0.63592,0.33393,0.8768,0.97643,1,0.97833,0.90266,0.97643,1,0.97833,0.89253,0.43964,0.59705,0.28224,0.83777,0.001175,0.001175,0.001175
52,596.244,0.4585,0.58968,0.31771,0.86051,0.97655,1,0.97744,0.90837,0.97655,1,0.97744,0.89264,0.38682,0.58969,0.26587,0.83812,0.0011585,0.0011585,0.0011585
53,607.406,0.42513,0.58788,0.30698,0.85466,0.97655,1,0.97544,0.90285,0.97655,1,0.97544,0.8886,0.40711,0.58094,0.2577,0.83024,0.001142,0.001142,0.001142
54,618.893,0.4486,0.61221,0.30476,0.86758,0.97656,1,0.98056,0.90765,0.97656,1,0.98056,0.89072,0.4078,0.58652,0.26618,0.83773,0.0011255,0.0011255,0.0011255
55,630.549,0.46332,0.61006,0.31487,0.86767,0.97654,1,0.97389,0.90092,0.97654,1,0.97389,0.88935,0.41214,0.58184,0.2746,0.83175,0.001109,0.001109,0.001109
56,642.142,0.4632,0.6227,0.31622,0.87716,0.97655,1,0.97433,0.89135,0.97655,1,0.97433,0.88123,0.46901,0.62978,0.31569,0.85065,0.0010925,0.0010925,0.0010925
57,653.598,0.45632,0.58359,0.30902,0.8764,0.97653,1,0.97433,0.91216,0.97653,1,0.97433,0.89006,0.39883,0.60083,0.27933,0.81708,0.001076,0.001076,0.001076
58,665.123,0.43807,0.5847,0.30215,0.854,0.97657,1,0.97433,0.90548,0.97657,1,0.97433,0.89798,0.40079,0.62189,0.27019,0.83019,0.0010595,0.0010595,0.0010595
59,676.562,0.43567,0.60626,0.29367,0.85368,0.97656,1,0.97744,0.91906,0.97656,1,0.97744,0.90574,0.40307,0.58016,0.26807,0.83342,0.001043,0.001043,0.001043
60,687.895,0.43317,0.62725,0.29763,0.8596,0.97653,1,0.97289,0.90601,0.97653,1,0.97289,0.89379,0.37966,0.57578,0.24979,0.82092,0.0010265,0.0010265,0.0010265
61,699.292,0.42834,0.59886,0.28758,0.86152,0.97666,1,0.98256,0.91702,0.97666,1,0.98256,0.90827,0.36449,0.57532,0.24355,0.80518,0.00101,0.00101,0.00101
62,710.808,0.44845,0.63047,0.29095,0.86409,0.97654,1,0.981,0.91464,0.97654,1,0.981,0.91144,0.39668,0.57165,0.24752,0.81742,0.0009935,0.0009935,0.0009935
63,722.153,0.45917,0.5796,0.29869,0.87801,0.97657,1,0.98189,0.93053,0.97657,1,0.98189,0.89964,0.36633,0.57979,0.24727,0.81873,0.000977,0.000977,0.000977
64,733.59,0.44937,0.61223,0.30157,0.8708,0.97657,1,0.98256,0.91829,0.97657,1,0.98256,0.90792,0.385,0.57081,0.2584,0.81505,0.0009605,0.0009605,0.0009605
65,744.956,0.45866,0.60686,0.30844,0.8681,0.97654,1,0.97633,0.91628,0.97654,1,0.97633,0.89972,0.38985,0.57067,0.25381,0.82422,0.000944,0.000944,0.000944
66,756.317,0.42789,0.61119,0.29173,0.84938,0.97653,1,0.98544,0.91651,0.97653,1,0.98544,0.89605,0.40639,0.59749,0.25121,0.82644,0.0009275,0.0009275,0.0009275
67,767.504,0.4409,0.60704,0.28994,0.8675,0.97659,1,0.981,0.92688,0.97659,1,0.981,0.90888,0.37788,0.55814,0.25737,0.8164,0.000911,0.000911,0.000911
68,778.8,0.42596,0.57865,0.27879,0.86849,0.97658,1,0.98656,0.92809,0.97658,1,0.98656,0.92588,0.38983,0.55879,0.2684,0.80898,0.0008945,0.0008945,0.0008945
69,790.11,0.44452,0.59664,0.28919,0.8679,0.97656,1,0.98656,0.92169,0.97656,1,0.98656,0.91793,0.39935,0.57771,0.25638,0.81368,0.000878,0.000878,0.000878
70,801.598,0.41513,0.58587,0.27461,0.85758,0.97657,1,0.983,0.92677,0.97657,1,0.983,0.90745,0.36388,0.57951,0.24583,0.80099,0.0008615,0.0008615,0.0008615
71,813.29,0.42837,0.5786,0.2759,0.85939,0.97657,1,0.98456,0.92718,0.97657,1,0.98456,0.91985,0.35781,0.55618,0.24328,0.80264,0.000845,0.000845,0.000845
72,824.855,0.41812,0.61014,0.27553,0.85879,0.97654,1,0.98344,0.92618,0.97654,1,0.98344,0.90929,0.37655,0.59976,0.25791,0.79631,0.0008285,0.0008285,0.0008285
73,836.386,0.4067,0.58148,0.27065,0.8459,0.97656,1,0.983,0.92662,0.97656,1,0.983,0.9017,0.3427,0.57227,0.24073,0.79271,0.000812,0.000812,0.000812
74,847.8,0.40467,0.58503,0.25901,0.85841,0.97656,1,0.98389,0.92491,0.97656,1,0.98389,0.92556,0.38568,0.5504,0.25319,0.80331,0.0007955,0.0007955,0.0007955
75,859.015,0.41583,0.58535,0.26083,0.86621,0.97656,1,0.987,0.93052,0.97656,1,0.987,0.90864,0.36822,0.57669,0.24266,0.8153,0.000779,0.000779,0.000779
76,870.527,0.40123,0.57416,0.26588,0.85787,0.97657,1,0.985,0.92856,0.97657,1,0.985,0.91456,0.40528,0.58686,0.24869,0.83948,0.0007625,0.0007625,0.0007625
77,881.853,0.42724,0.60044,0.27945,0.86937,0.97658,1,0.983,0.90949,0.97658,1,0.983,0.90307,0.40761,0.57166,0.24326,0.84194,0.000746,0.000746,0.000746
78,893.5,0.39735,0.56976,0.26007,0.87313,0.97658,1,0.981,0.90483,0.97658,1,0.981,0.90481,0.40801,0.57808,0.26419,0.85674,0.0007295,0.0007295,0.0007295
79,904.7,0.43096,0.61297,0.27181,0.85939,0.97657,1,0.977,0.91463,0.97657,1,0.977,0.91029,0.41996,0.56874,0.25049,0.86247,0.000713,0.000713,0.000713
80,916.153,0.42598,0.59281,0.26856,0.86112,0.97778,1,0.981,0.92609,0.97778,1,0.981,0.91199,0.38766,0.56264,0.23837,0.855,0.0006965,0.0006965,0.0006965
81,927.512,0.41259,0.5637,0.2638,0.84843,0.97661,1,0.98544,0.92907,0.97661,1,0.98544,0.90942,0.37075,0.61193,0.24144,0.8542,0.00068,0.00068,0.00068
82,938.908,0.42449,0.56424,0.26596,0.85231,0.97659,1,0.98256,0.94095,0.97659,1,0.98256,0.92067,0.36675,0.56327,0.23532,0.8367,0.0006635,0.0006635,0.0006635
83,950.401,0.39872,0.56165,0.26198,0.85278,0.97657,1,0.981,0.92965,0.97657,1,0.981,0.9163,0.35948,0.55583,0.22211,0.83421,0.000647,0.000647,0.000647
84,961.604,0.40688,0.56703,0.27252,0.85519,0.97657,1,0.98256,0.92946,0.97657,1,0.98256,0.9047,0.34038,0.58275,0.22104,0.80471,0.0006305,0.0006305,0.0006305
85,973.272,0.41502,0.55851,0.27069,0.85362,0.97657,1,0.983,0.92756,0.97657,1,0.983,0.91805,0.37106,0.56592,0.23694,0.80865,0.000614,0.000614,0.000614
86,984.594,0.38061,0.52268,0.24543,0.85321,0.9766,1,0.97944,0.93856,0.9766,1,0.97944,0.91778,0.33677,0.5663,0.22036,0.81044,0.0005975,0.0005975,0.0005975
87,996.069,0.38996,0.53353,0.2483,0.85492,0.9766,1,0.97744,0.93503,0.9766,1,0.97744,0.90591,0.33092,0.55303,0.22924,0.80672,0.000581,0.000581,0.000581
88,1007.45,0.39801,0.54567,0.25441,0.85261,0.97657,1,0.977,0.92382,0.97657,1,0.977,0.91334,0.34365,0.5564,0.2204,0.80598,0.0005645,0.0005645,0.0005645
89,1019.13,0.39575,0.52435,0.25115,0.85381,0.97659,1,0.97589,0.92746,0.97659,1,0.97589,0.91472,0.35656,0.55409,0.24829,0.8042,0.000548,0.000548,0.000548
90,1030.85,0.39126,0.5692,0.25427,0.84621,0.97778,1,0.977,0.93683,0.97778,1,0.977,0.92112,0.34816,0.55921,0.24352,0.80338,0.0005315,0.0005315,0.0005315
91,1042.12,0.35611,0.51755,0.23742,0.84994,0.97778,1,0.977,0.94,0.97778,1,0.977,0.92502,0.31563,0.54831,0.23223,0.7986,0.000515,0.000515,0.000515
92,1053.64,0.37456,0.55015,0.24706,0.84809,0.97778,1,0.98189,0.95102,0.97778,1,0.98189,0.93038,0.31668,0.54012,0.21795,0.80029,0.0004985,0.0004985,0.0004985
93,1065.16,0.3883,0.55274,0.24805,0.8582,0.9766,1,0.97833,0.93453,0.9766,1,0.97833,0.92642,0.31712,0.54286,0.21971,0.79838,0.000482,0.000482,0.000482
94,1076.5,0.3832,0.55742,0.25049,0.85331,0.97659,1,0.987,0.94102,0.97659,1,0.987,0.91427,0.33457,0.5742,0.22535,0.79643,0.0004655,0.0004655,0.0004655
95,1087.96,0.37916,0.57147,0.24986,0.85407,0.97658,1,0.98256,0.93548,0.97658,1,0.98256,0.90739,0.33823,0.56162,0.23122,0.79437,0.000449,0.000449,0.000449
96,1099.49,0.38599,0.54588,0.24433,0.84966,0.97658,1,0.97989,0.92505,0.97658,1,0.97989,0.92118,0.34512,0.54413,0.22522,0.81777,0.0004325,0.0004325,0.0004325
97,1111.25,0.38582,0.56641,0.25234,0.85263,0.97659,1,0.98144,0.92609,0.97659,1,0.98144,0.92223,0.35597,0.55941,0.22889,0.83936,0.000416,0.000416,0.000416
98,1122.71,0.3855,0.55911,0.23875,0.84079,0.9766,1,0.983,0.92574,0.9766,1,0.983,0.9236,0.37575,0.53826,0.24534,0.83277,0.0003995,0.0003995,0.0003995
99,1134.17,0.38109,0.53747,0.24151,0.8481,0.9766,1,0.98144,0.9448,0.9766,1,0.98144,0.91661,0.34342,0.5698,0.23387,0.80613,0.000383,0.000383,0.000383
100,1145.7,0.38173,0.53305,0.23969,0.84559,0.97659,1,0.98389,0.9471,0.97659,1,0.98389,0.92624,0.32088,0.5445,0.21683,0.79577,0.0003665,0.0003665,0.0003665
101,1157.24,0.37342,0.54555,0.23742,0.84985,0.97659,1,0.985,0.94407,0.97659,1,0.985,0.92628,0.32195,0.53691,0.21086,0.80106,0.00035,0.00035,0.00035
102,1168.88,0.37427,0.51887,0.2365,0.84808,0.9766,1,0.97989,0.92932,0.9766,1,0.97989,0.91778,0.32894,0.53845,0.2211,0.79328,0.0003335,0.0003335,0.0003335
103,1180.38,0.35059,0.52297,0.23511,0.84821,0.97659,1,0.98189,0.94685,0.97659,1,0.98189,0.9118,0.32616,0.5685,0.22604,0.81015,0.000317,0.000317,0.000317
